step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.01245,0.01412,0.04235,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
2,2.0,21,21,0.01829,0.02073,0.06220,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
3,3.0,29,29,0.02467,0.02797,0.08391,0.00000,0.00000,0.00000,8.27,0.00,0.067,0,0.0
4,4.0,41,41,0.05632,0.03822,0.11465,0.00000,0.00000,0.00084,8.27,0.00,0.067,278,21.0
5,5.0,51,51,0.06291,0.04625,0.13874,0.00000,0.00000,0.00199,8.27,0.00,0.067,309,28.0
6,6.0,60,60,0.06856,0.05311,0.15932,0.00000,0.00000,0.00348,8.27,0.00,0.068,341,35.8
7,7.0,71,71,0.07531,0.06106,0.18318,0.00000,0.00000,0.00541,8.27,0.00,0.068,377,45.6
8,8.0,79,79,0.08011,0.06657,0.19970,0.00000,0.00000,0.00770,8.27,0.00,0.068,296,52.8
9,9.0,91,91,0.08680,0.07442,0.22326,0.00000,0.00000,0.01041,8.27,0.00,0.068,324,62.3
10,10.0,100,100,0.09174,0.08001,0.24004,0.00000,0.00000,0.01358,8.27,0.00,0.068,354,72.8
11,11.0,116,116,0.09807,0.08938,0.26815,0.00000,0.00000,0.01779,8.27,0.00,0.068,375,95.4
12,12.0,138,138,0.10862,0.10119,0.30356,0.00000,0.00000,0.02260,8.27,0.00,0.068,402,108.8
13,13.0,159,159,0.11772,0.11144,0.33431,0.00000,0.00000,0.02797,8.27,0.00,0.068,429,121.5
14,14.0,185,185,0.12786,0.12294,0.36882,0.00000,0.00000,0.03439,8.27,0.00,0.069,479,144.9
15,15.0,211,211,0.13714,0.13331,0.39992,0.00000,0.00000,0.04185,8.27,0.00,0.069,527,168.3
16,16.0,238,238,0.14599,0.14305,0.42914,0.00000,0.00000,0.05008,8.27,0.00,0.069,562,185.5
17,17.0,265,265,0.15393,0.15188,0.45564,0.00000,0.00000,0.05950,8.27,0.00,0.070,623,212.4
18,18.0,296,296,0.16231,0.16106,0.48319,0.00000,0.00000,0.07006,8.27,0.00,0.070,672,238.4
19,19.0,329,331,0.17093,0.17037,0.51112,0.00000,0.00000,0.08171,8.27,0.00,0.070,709,263.1
20,20.0,369,372,0.17983,0.18008,0.54023,0.00000,0.00000,0.09470,8.27,0.00,0.071,761,293.7
21,21.0,413,416,0.18831,0.18928,0.56784,0.00000,0.00000,0.10932,8.27,0.00,0.071,820,330.5
22,22.0,460,463,0.19639,0.19796,0.59389,0.00000,0.00000,0.12570,8.27,0.00,0.072,879,369.4
23,23.0,520,525,0.20579,0.20794,0.62381,0.00000,0.00000,0.14411,8.27,0.00,0.072,936,414.4
24,24.0,579,584,0.21377,0.21615,0.64846,0.00000,0.00000,0.16499,8.27,0.00,0.073,1024,468.6
25,25.0,608,631,0.21983,0.22196,0.66589,0.00000,0.00000,0.18835,8.27,0.00,0.074,1102,523.3
26,26.0,650,682,0.22594,0.22765,0.68296,0.00000,0.00000,0.21479,8.27,0.00,0.074,1192,590.1
27,27.0,692,731,0.23175,0.23260,0.69779,0.00000,0.00000,0.24440,8.27,0.00,0.075,1303,659.5
28,28.0,752,795,0.23841,0.23840,0.71519,0.00000,0.00000,0.27607,8.27,0.00,0.076,1358,703.8
29,29.0,803,855,0.24452,0.24326,0.72977,0.00000,0.00000,0.30814,8.27,0.00,0.077,964,709.8
30,30.0,861,925,0.25014,0.24834,0.74501,0.00000,0.00000,0.34021,8.27,0.00,0.078,946,707.7
31,31.0,918,997,0.25549,0.25299,0.75898,0.00000,0.00000,0.37229,8.27,0.00,0.079,929,704.6
32,32.0,960,1060,0.26011,0.25667,0.77001,0.00000,0.00000,0.40435,8.27,0.00,0.080,912,701.6
33,33.0,985,1112,0.26413,0.25946,0.77838,0.00000,0.00000,0.43641,8.27,0.00,0.081,898,699.0
34,34.0,1002,1161,0.26796,0.26191,0.78573,0.00000,0.00000,0.46849,8.27,0.00,0.082,889,698.0
35,35.0,1004,1204,0.27144,0.26393,0.79179,0.00000,0.00000,0.50055,8.27,0.00,0.082,884,697.0
36,36.0,1017,1258,0.27529,0.26631,0.79893,0.00000,0.00000,0.53262,8.27,0.00,0.083,882,697.1
37,37.0,1016,1301,0.27863,0.26809,0.80428,0.00000,0.00000,0.56470,8.27,0.00,0.084,880,697.4
38,38.0,1013,1345,0.28203,0.26982,0.80946,0.00000,0.00000,0.59678,8.27,0.00,0.085,880,697.7
39,39.0,1017,1390,0.28538,0.27149,0.81448,0.00000,0.00000,0.62886,8.27,0.00,0.086,879,697.4
40,40.0,1024,1432,0.28859,0.27298,0.81894,0.00000,0.00000,0.66093,8.27,0.00,0.087,879,697.4
41,41.0,1012,1471,0.29173,0.27430,0.82289,0.00000,0.00000,0.69300,8.27,0.00,0.087,880,697.6
42,42.0,988,1508,0.29481,0.27549,0.82648,0.00000,0.00000,0.72508,8.27,0.00,0.088,884,699.2
43,43.0,983,1549,0.29791,0.27677,0.83030,0.00000,0.00000,0.75716,8.27,0.00,0.089,886,700.0
44,44.0,972,1584,0.30090,0.27781,0.83342,0.00000,0.00000,0.78922,8.27,0.00,0.090,891,701.6
45,45.0,982,1628,0.30407,0.27906,0.83719,0.00000,0.00000,0.82130,8.27,0.00,0.090,897,703.6
46,46.0,996,1682,0.30733,0.28053,0.84159,0.00000,0.00000,0.85338,8.27,0.00,0.091,895,705.1
47,47.0,1018,1733,0.31058,0.28184,0.84553,0.00000,0.00000,0.88544,8.27,0.00,0.092,901,705.8
48,48.0,1042,1788,0.31382,0.28319,0.84957,0.00000,0.00000,0.91751,8.27,0.00,0.093,905,706.6
49,49.0,1060,1844,0.31699,0.28449,0.85347,0.00000,0.00000,0.94960,8.27,0.00,0.094,908,707.1
50,50.0,1072,1895,0.31997,0.28562,0.85685,0.00000,0.00000,0.98167,8.27,0.00,0.094,909,707.1
