quantity;value
cycles;105
satisficing_failed;105
tried;23
accepted;5
rejected;18
withheld;2
persist_failed;0
dJ_accepted;-0.028810
stage1_tried;12
stage1_accepted;3
stage2_tried;4
stage2_accepted;1
stage3_tried;7
stage3_accepted;1
blocked: cooldown between adaptation trials;82
gate: rejected at G3 (no improvement);2
gate: admitted (improves G3 + G4);1
gate: rejected;4
rejected: no improving perturbation found;9
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: rejected at G3 (claude);2
"rejected: rejected at G2c relevance (the rule does not fire in the PRESENT situation; use each concept's CURRENT dominant term from the situation line) (claude)";4
