step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.01895,0.04326,0.00000,0.00000,0.00081,8.27,0.00,0.068,188,107.0
2,2.0,19,19,0.02574,0.05825,0.00000,0.00000,0.00176,8.27,0.00,0.068,340,128.6
3,3.0,25,25,0.03144,0.07593,0.00000,0.00000,0.00274,8.27,0.00,0.068,357,132.5
4,4.0,34,34,0.03989,0.10183,0.00000,0.00000,0.00409,8.27,0.00,0.068,517,185.7
5,5.0,40,40,0.04523,0.11869,0.00000,0.00000,0.00554,8.27,0.00,0.068,550,199.8
6,6.0,42,42,0.04711,0.12424,0.00000,0.00000,0.00705,8.27,0.00,0.069,572,209.3
7,7.0,47,47,0.05119,0.13796,0.00000,0.00000,0.00860,8.27,0.00,0.069,574,213.6
8,8.0,47,47,0.05139,0.13796,0.00000,0.00000,0.01020,8.27,0.00,0.069,588,221.6
9,9.0,52,52,0.05537,0.15147,0.00000,0.00000,0.01182,8.27,0.00,0.069,588,223.6
10,10.0,56,56,0.05878,0.16212,0.00000,0.00000,0.01347,8.27,0.00,0.070,494,228.7
11,11.0,57,57,0.05979,0.16476,0.00000,0.00000,0.01515,8.27,0.00,0.070,503,232.9
12,12.0,59,59,0.06146,0.17002,0.00000,0.00000,0.01683,8.27,0.00,0.070,505,233.1
13,13.0,64,64,0.06552,0.18303,0.00000,0.00000,0.01854,8.27,0.00,0.070,526,238.3
14,14.0,66,66,0.06736,0.18817,0.00000,0.00000,0.02032,8.27,0.00,0.070,551,247.4
15,15.0,71,71,0.07130,0.20089,0.00000,0.00000,0.02213,8.27,0.00,0.071,575,252.8
16,16.0,80,80,0.07821,0.22329,0.00000,0.00000,0.02402,8.27,0.00,0.071,609,263.4
17,17.0,93,93,0.08765,0.25453,0.00000,0.00000,0.02599,8.27,0.00,0.071,643,276.2
18,18.0,112,112,0.10073,0.29796,0.00000,0.00000,0.02807,8.27,0.00,0.071,682,292.9
19,19.0,127,127,0.11056,0.33044,0.00000,0.00000,0.03031,8.27,0.00,0.071,728,317.0
20,20.0,141,141,0.11930,0.35940,0.00000,0.00000,0.03269,8.27,0.00,0.072,767,337.5
21,21.0,162,162,0.13153,0.40052,0.00000,0.00000,0.03519,8.27,0.00,0.072,800,355.9
22,22.0,180,180,0.14150,0.43365,0.00000,0.00000,0.03787,8.27,0.00,0.072,834,382.9
23,23.0,204,204,0.15381,0.47499,0.00000,0.00000,0.04071,8.27,0.00,0.072,876,407.5
24,24.0,229,229,0.16568,0.51486,0.00000,0.00000,0.04372,8.27,0.00,0.073,912,432.8
25,25.0,252,252,0.17573,0.54885,0.00000,0.00000,0.04694,8.27,0.00,0.073,961,462.6
26,26.0,276,276,0.18552,0.58179,0.00000,0.00000,0.05035,8.27,0.00,0.073,994,490.0
27,27.0,302,302,0.19530,0.61476,0.00000,0.00000,0.05398,8.27,0.00,0.073,1033,521.9
28,28.0,333,333,0.20596,0.65069,0.00000,0.00000,0.05786,8.27,0.00,0.074,1095,558.8
29,29.0,364,364,0.21559,0.68327,0.00000,0.00000,0.06203,8.27,0.00,0.074,1158,599.9
30,30.0,390,390,0.22302,0.70824,0.00000,0.00000,0.06647,8.27,0.00,0.074,1218,638.0
31,31.0,417,417,0.23024,0.73209,0.00000,0.00000,0.07111,8.27,0.00,0.075,1271,666.3
32,32.0,446,446,0.23734,0.75554,0.00000,0.00000,0.07595,8.27,0.00,0.075,1321,696.9
33,33.0,474,474,0.24361,0.77623,0.00000,0.00000,0.08095,8.27,0.00,0.075,1077,715.8
34,34.0,502,502,0.24951,0.79517,0.00000,0.00000,0.08595,8.27,0.00,0.075,985,711.7
35,35.0,534,534,0.25559,0.81487,0.00000,0.00000,0.09095,8.27,0.00,0.076,975,712.0
36,36.0,567,567,0.26099,0.83319,0.00000,0.00000,0.09595,8.27,0.00,0.076,975,712.5
37,37.0,599,599,0.26566,0.84923,0.00000,0.00000,0.10095,8.27,0.00,0.076,970,711.0
38,38.0,642,642,0.27141,0.86837,0.00000,0.00000,0.10595,8.27,0.00,0.077,970,710.8
39,39.0,688,688,0.27677,0.88617,0.00000,0.00000,0.11094,8.27,0.00,0.077,970,710.8
40,40.0,745,745,0.28242,0.90493,0.00000,0.00000,0.11594,8.27,0.00,0.077,970,711.3
41,41.0,801,801,0.28704,0.92034,0.00000,0.00000,0.12094,8.27,0.00,0.078,970,710.8
42,42.0,859,859,0.29112,0.93368,0.00000,0.00000,0.12594,8.27,0.00,0.078,968,710.3
43,43.0,913,913,0.29439,0.94408,0.00000,0.00000,0.13093,8.27,0.00,0.078,967,710.0
44,44.0,982,982,0.29785,0.95503,0.00000,0.00000,0.13593,8.27,0.00,0.078,966,709.9
45,45.0,1034,1034,0.30015,0.96184,0.00000,0.00000,0.14093,8.27,0.00,0.079,969,710.9
46,46.0,1089,1089,0.30224,0.96792,0.00000,0.00000,0.14592,8.27,0.00,0.079,970,711.0
47,47.0,1148,1148,0.30414,0.97338,0.00000,0.00000,0.15092,8.27,0.00,0.079,970,710.9
48,48.0,1208,1208,0.30580,0.97797,0.00000,0.00000,0.15592,8.27,0.00,0.079,972,711.3
49,49.0,1281,1281,0.30743,0.98251,0.00000,0.00000,0.16092,8.27,0.00,0.080,973,711.7
50,50.0,1347,1347,0.30869,0.98580,0.00000,0.00000,0.16592,8.27,0.00,0.080,973,711.6
51,51.0,1407,1407,0.30977,0.98825,0.00000,0.00000,0.17091,8.27,0.00,0.080,978,712.2
