step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
16;480;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.23] R26[0.33] G1[0.06] G2[0.23] G3[0.06] G4[0.22];0.73;0.63;0.83;0.64;0.51;0.00;0.91;0.07;0.1711;0.1304;1
16;480;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.36] R26[0.32] G2[0.23] G4[0.23] G5[0.08] G6[0.23];0.68;0.64;0.82;0.62;0.51;0.00;0.85;0.00;0.1711;0.1304;1
16;480;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: low) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.19] R26[0.33] G1[0.11] G2[0.19] G3[0.11] G4[0.17];0.74;0.64;0.83;0.67;0.53;0.00;0.88;0.10;0.1711;0.1304;1
17;510;Agent_1;orders came from the seed rule base (rules as-is);0;0;R20[0.22] R26[0.30] G1[0.05] G2[0.22] G3[0.05] G4[0.20];0.74;0.63;0.83;0.64;0.51;0.00;0.88;0.07;0.1684;0.1323;1
17;510;Agent_2;orders came from the seed rule base (rules as-is);0;0;R20[0.32] R26[0.29] G2[0.23] G4[0.23] G5[0.07] G6[0.23];0.69;0.64;0.82;0.62;0.51;0.00;0.82;0.00;0.1684;0.1323;1
17;510;Agent_3;orders came from the seed rule base (rules as-is);0;0;R20[0.18] R26[0.30] G1[0.10] G2[0.18] G3[0.10] G4[0.15];0.74;0.64;0.83;0.67;0.53;0.00;0.85;0.10;0.1684;0.1323;1
18;540;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.20] R26[0.27] G1[0.05] G2[0.20] G3[0.05] G4[0.18];0.75;0.64;0.83;0.64;0.52;0.00;0.85;0.07;0.1741;0.1343;1
18;540;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.29] R26[0.26] G2[0.23] G4[0.22] G5[0.07] G6[0.23];0.70;0.65;0.82;0.62;0.52;0.00;0.79;0.00;0.1741;0.1343;1
18;540;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.16] R26[0.28] G1[0.09] G2[0.16] G3[0.09] G4[0.14];0.74;0.64;0.83;0.67;0.53;0.00;0.84;0.10;0.1741;0.1343;1
18;540;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.20] R26[0.27] G1[0.05] G2[0.20] G3[0.05] G4[0.18];0.75;0.64;0.83;0.64;0.52;0.00;0.85;0.07;0.1741;0.1343;1
18;540;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.29] R26[0.26] G2[0.23] G4[0.22] G5[0.07] G6[0.23];0.70;0.65;0.82;0.62;0.52;0.00;0.79;0.00;0.1741;0.1343;1
18;540;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (generative model not reachable (launch failed (FileNotFoundError)); install Claude Code and run /login | seed-base decision stands, its orders are applied);3;0;R20[0.16] R26[0.28] G1[0.09] G2[0.16] G3[0.09] G4[0.14];0.74;0.64;0.83;0.67;0.53;0.00;0.84;0.10;0.1741;0.1343;1
18;540;Agent_1;orders came from the seed rule base (rules as-is);0;0;R20[0.20] R26[0.27] G1[0.05] G2[0.20] G3[0.05] G4[0.18];0.75;0.64;0.83;0.64;0.52;0.00;0.85;0.07;0.1741;0.1343;1
18;540;Agent_2;orders came from the seed rule base (rules as-is);0;0;R20[0.29] R26[0.26] G2[0.23] G4[0.22] G5[0.07] G6[0.23];0.70;0.65;0.82;0.62;0.52;0.00;0.79;0.00;0.1741;0.1343;1
18;540;Agent_3;orders came from the seed rule base (rules as-is);0;0;R20[0.16] R26[0.28] G1[0.09] G2[0.16] G3[0.09] G4[0.14];0.74;0.64;0.83;0.67;0.53;0.00;0.84;0.10;0.1741;0.1343;1
19;570;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.19] R26[0.26] G1[0.04] G2[0.19] G3[0.04] G4[0.17];0.76;0.65;0.83;0.63;0.53;0.00;0.84;0.07;0.1762;0.1367;1
19;570;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.26] R26[0.24] G2[0.23] G4[0.20] G5[0.07] G6[0.23];0.71;0.66;0.82;0.62;0.52;0.00;0.76;0.00;0.1762;0.1367;1
19;570;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.15] R26[0.26] G1[0.09] G2[0.15] G3[0.09] G4[0.13];0.76;0.66;0.83;0.67;0.54;0.00;0.81;0.10;0.1762;0.1367;1
17;510;Agent_1;orders came from the seed rule base (rules as-is);0;0;R20[0.22] R26[0.30] G1[0.05] G2[0.22] G3[0.05] G4[0.20];0.74;0.63;0.83;0.64;0.51;0.00;0.88;0.07;0.1684;0.1323;1
17;510;Agent_2;orders came from the seed rule base (rules as-is);0;0;R20[0.32] R26[0.29] G2[0.23] G4[0.23] G5[0.07] G6[0.23];0.69;0.64;0.82;0.62;0.51;0.00;0.82;0.00;0.1684;0.1323;1
17;510;Agent_3;orders came from the seed rule base (rules as-is);0;0;R20[0.18] R26[0.30] G1[0.10] G2[0.18] G3[0.10] G4[0.15];0.74;0.64;0.83;0.67;0.53;0.00;0.85;0.10;0.1684;0.1323;1
17;510;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → ACCEPTED: G41: G41: IF fire threat level is >=H AND suppression feasibility is VH AND intervention urgency is H THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4) | NO-HARM: no PHYSICAL improvement forecast (phys 0.1568 vs 0.1499), offensive orders withheld; life-safety orders stand;3;3;R20[0.18] R26[0.24] G1[0.04] G2[0.18] G3[0.04] G4[0.16];0.00;0.00;0.00;0.00;0.52;0.00;0.82;0.07;0.1779;0.1323;1
17;510;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → ACCEPTED: G41: G41: IF fire threat level is >=H AND suppression feasibility is VH AND intervention urgency is H THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4) | NO-HARM: no PHYSICAL improvement forecast (phys 0.1568 vs 0.1499), offensive orders withheld; life-safety orders stand;3;3;R20[0.24] R26[0.21] G2[0.23] G4[0.18] G5[0.07] G6[0.21];0.00;0.00;0.00;0.00;0.52;0.00;0.74;0.00;0.1779;0.1323;1
17;510;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → ACCEPTED: G41: G41: IF fire threat level is >=H AND suppression feasibility is VH AND intervention urgency is H THEN suppression effort 1.0, water drafting 0.9, retardant drop 0.8 (adaptation-born: generative (claude), gates G1-G4) | NO-HARM: no PHYSICAL improvement forecast (phys 0.1568 vs 0.1499), offensive orders withheld; life-safety orders stand;3;3;R20[0.14] R26[0.25] G1[0.09] G2[0.14] G3[0.09] G4[0.13];0.00;0.00;0.00;0.00;0.54;0.00;0.79;0.10;0.1779;0.1323;1
20;600;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.18] R26[0.24] G1[0.04] G2[0.18] G3[0.04] G4[0.16];0.75;0.65;0.83;0.63;0.53;0.00;0.83;0.07;0.1778;0.1384;1
20;600;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → rejected (no improving perturbation found | seed-base decision stands, its orders are applied);1;0;R20[0.24] R26[0.21] G2[0.23] G4[0.18] G5[0.07] G6[0.21];0.71;0.65;0.81;0.61;0.52;0.00;0.74;0.00;0.1778;0.1384;1
