step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
1;1;Agent_1;RL selected stage 3 [GenAI] (deficit bucket: mid+gap) → ACCEPTED: G1: G1: IF asset exposure risk is VH AND intervention urgency is VL THEN asset protection 0.7, resource deployment 0.3 (adaptation-born: generative (template), gates G1-G4);3;3;R7[0.02] R20[0.19] G1[0.54];0.00;0.34;0.01;0.40;0.00;0.00;0.82;0.00;0.1909;0.1775;1
1;1;Agent_2;RL selected stage 3 [GenAI] (deficit bucket: mid+gap) → ACCEPTED: G1: G1: IF asset exposure risk is VH AND intervention urgency is VL THEN asset protection 0.7, resource deployment 0.3 (adaptation-born: generative (template), gates G1-G4);3;3;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.03;0.20;0.02;0.00;0.25;0.25;0.92;0.00;0.1909;0.1775;1
1;1;Agent_3;RL selected stage 3 [GenAI] (deficit bucket: mid+gap) → ACCEPTED: G1: G1: IF asset exposure risk is VH AND intervention urgency is VL THEN asset protection 0.7, resource deployment 0.3 (adaptation-born: generative (template), gates G1-G4);3;3;;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.1909;0.1775;1
2;2;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.18] G1[0.50];0.00;0.31;0.01;0.37;0.00;0.00;0.80;0.12;0.1973;0.1836;1
2;2;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.02;0.20;0.02;0.00;0.24;0.25;0.91;0.12;0.1973;0.1836;1
2;2;Agent_3;orders came from the seed rule base (rules as-is);0;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.74;0.12;0.1973;0.1836;1
3;3;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.18] R26[0.04] G1[0.42];0.04;0.34;0.01;0.31;0.00;0.00;0.71;0.12;0.1749;0.1880;1
3;3;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.02;0.19;0.02;0.00;0.24;0.25;0.87;0.12;0.1749;0.1880;1
3;3;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.02] R26[0.05] G1[0.08];0.05;0.08;0.02;0.09;0.00;0.00;0.71;0.12;0.1749;0.1880;1
4;4;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.19] R26[0.08] G1[0.35];0.08;0.35;0.01;0.27;0.00;0.00;0.70;0.12;0.1450;0.1964;1
4;4;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.02;0.19;0.02;0.00;0.24;0.25;0.88;0.12;0.1450;0.1964;1
4;4;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.04] R26[0.08] G1[0.08];0.08;0.13;0.02;0.09;0.00;0.00;0.72;0.12;0.1450;0.1964;1
5;5;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.20] R26[0.11] G1[0.30];0.11;0.37;0.01;0.23;0.00;0.00;0.69;0.12;0.1495;0.1967;1
5;5;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.01;0.13;0.02;0.00;0.24;0.25;0.88;0.12;0.1495;0.1967;0
5;5;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.05] R26[0.11] G1[0.08];0.11;0.16;0.02;0.09;0.00;0.00;0.72;0.12;0.1495;0.1967;1
6;6;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.20] R26[0.13] G1[0.26];0.13;0.38;0.01;0.20;0.00;0.00;0.69;0.12;0.1583;0.1973;1
6;6;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.01;0.13;0.02;0.00;0.24;0.25;0.88;0.12;0.1583;0.1973;0
6;6;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.06] R26[0.13] G1[0.08];0.13;0.19;0.02;0.09;0.00;0.00;0.73;0.12;0.1583;0.1973;1
7;7;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.21] R26[0.14] G1[0.23];0.14;0.38;0.01;0.18;0.00;0.00;0.68;0.12;0.1497;0.1991;1
7;7;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.03] R20[0.01] R26[0.03];0.01;0.13;0.02;0.00;0.24;0.25;0.88;0.12;0.1497;0.1991;0
7;7;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.07] R26[0.15] G1[0.08];0.15;0.21;0.02;0.09;0.00;0.00;0.73;0.12;0.1497;0.1991;1
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.21] R26[0.16] G1[0.20];0.16;0.39;0.01;0.16;0.00;0.00;0.68;0.12;0.1475;0.2024;1
8;8;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23] R15[0.02] R26[0.02];0.01;0.12;0.02;0.00;0.24;0.24;0.88;0.12;0.1475;0.2024;0
