step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
0;0;Agent_1;orders came from the seed rule base (rules as-is);0;0;R2[0.22] R3[0.32] R6[0.16] R7[0.02] R8[0.16] R9[0.13];0.54;0.79;0.36;0.79;0.86;0.46;0.71;0.00;0.2239;0.2239;1
0;0;Agent_2;orders came from the seed rule base (rules as-is);0;0;R2[0.10] R3[0.32] R6[0.06] R7[0.11] R8[0.06] R9[0.12];0.37;0.74;0.35;0.59;0.88;0.86;0.62;0.00;0.2239;0.2239;1
0;0;Agent_3;orders came from the seed rule base (rules as-is);0;0;R1[0.11] R2[0.26] R3[0.32] R4[0.11] R5[0.08] R6[0.23];0.62;0.65;0.17;0.55;0.20;0.40;0.76;0.00;0.2239;0.2239;1
0;0;Agent_1;orders came from the seed rule base (rules as-is);0;0;R2[0.22] R3[0.60] R7[0.02] R9[0.06] R10[0.02] R14[0.02];0.39;0.80;0.24;0.76;0.47;0.30;0.72;0.00;0.1375;0.1375;1
0;0;Agent_2;orders came from the seed rule base (rules as-is);0;0;R2[0.10] R3[0.63] R9[0.11] R10[0.05] R11[0.23] R14[0.11];0.19;0.46;0.23;0.12;0.55;0.52;0.73;0.00;0.1375;0.1375;0
0;0;Agent_3;orders came from the seed rule base (rules as-is);0;0;R1[0.11] R2[0.17] R3[0.63] R4[0.11] R6[0.17] R8[0.11];0.57;0.68;0.17;0.58;0.18;0.36;0.70;0.00;0.1375;0.1375;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R2[0.20] R3[0.29] R6[0.15] R7[0.02] R8[0.15] R9[0.11];0.56;0.79;0.34;0.78;0.81;0.41;0.68;0.00;0.2273;0.2273;1
1;1;Agent_2;orders came from the seed rule base (rules as-is);0;0;R2[0.10] R3[0.29] R6[0.05] R7[0.10] R8[0.05] R9[0.11];0.38;0.74;0.36;0.53;0.89;0.80;0.63;0.00;0.2273;0.2273;1
1;1;Agent_3;orders came from the seed rule base (rules as-is);0;0;R1[0.10] R2[0.26] R3[0.29] R4[0.10] R5[0.07] R6[0.20];0.62;0.66;0.16;0.55;0.18;0.36;0.74;0.00;0.2273;0.2273;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R2[0.20] R3[0.54] R7[0.02] R9[0.05] R10[0.02] R14[0.02];0.40;0.80;0.22;0.68;0.42;0.27;0.72;0.00;0.1413;0.1413;1
