step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,223,223,0.13695,0.43483,0.00000,0.00000,0.00035,7.40,0.00,0.062,1488,368.3
2,2.0,476,476,0.21531,0.70418,0.00000,0.00002,0.00130,7.40,0.00,0.063,2254,1002.9
3,3.0,620,625,0.24254,0.79796,0.00000,0.00006,0.00245,7.40,0.00,0.064,3121,1232.5
4,4.0,778,784,0.26160,0.86549,0.00000,0.00011,0.00370,7.40,0.00,0.065,3380,1343.2
5,5.0,906,913,0.27209,0.90331,0.00000,0.00016,0.00512,7.40,0.00,0.065,3636,1517.8
6,6.0,991,998,0.27764,0.92221,0.00000,0.00022,0.00668,7.40,0.00,0.066,3845,1670.9
7,7.0,1081,1088,0.28250,0.93821,0.00000,0.00029,0.00832,7.40,0.00,0.067,3966,1763.3
8,8.0,1169,1176,0.28632,0.95067,0.00000,0.00036,0.01006,7.40,0.00,0.068,4052,1863.6
9,9.0,1253,1260,0.28930,0.96021,0.00000,0.00043,0.01188,7.40,0.00,0.069,4123,1965.8
10,10.0,1345,1352,0.29195,0.96856,0.00000,0.00050,0.01379,7.40,0.00,0.070,4206,2066.7
11,11.0,1377,1384,0.29282,0.97103,0.00000,0.00057,0.01574,7.40,0.00,0.071,4253,2105.9
12,12.0,1408,1415,0.29360,0.97324,0.00000,0.00063,0.01773,7.40,0.00,0.071,4310,2150.0
13,13.0,1418,1425,0.29393,0.97391,0.00000,0.00070,0.01976,7.40,0.00,0.072,4354,2188.0
14,14.0,1431,1438,0.29431,0.97477,0.00000,0.00077,0.02180,7.40,0.00,0.073,4381,2205.3
15,15.0,1445,1452,0.29471,0.97566,0.00000,0.00084,0.02388,7.40,0.00,0.074,4450,2246.0
16,16.0,1456,1463,0.29505,0.97633,0.00000,0.00091,0.02599,7.40,0.00,0.075,4517,2282.9
17,17.0,1469,1478,0.29546,0.97722,0.00000,0.00099,0.02813,7.40,0.00,0.076,4581,2312.0
18,18.0,1480,1489,0.29580,0.97785,0.00000,0.00107,0.03029,7.40,0.00,0.077,4626,2335.0
19,19.0,1491,1500,0.29614,0.97847,0.00000,0.00114,0.03247,7.40,0.00,0.078,4652,2356.2
20,20.0,1505,1514,0.29652,0.97923,0.00000,0.00122,0.03468,7.40,0.00,0.078,4691,2378.1
21,21.0,1518,1527,0.29687,0.97991,0.00000,0.00129,0.03690,7.40,0.00,0.079,4721,2401.1
22,22.0,1540,1549,0.29793,0.98101,0.00202,0.00137,0.03914,7.40,0.00,0.080,4738,2416.3
23,23.0,1576,1586,0.30171,0.98272,0.01268,0.00146,0.04142,7.40,0.00,0.081,4806,2459.0
24,24.0,1610,1620,0.30313,0.98416,0.01556,0.00158,0.04375,7.40,0.00,0.082,4847,2512.6
25,25.0,1651,1661,0.30375,0.98574,0.01556,0.00171,0.04613,7.40,0.00,0.083,4886,2568.0
26,26.0,1687,1697,0.30488,0.98699,0.01757,0.00184,0.04857,7.40,0.00,0.083,4914,2624.9
27,27.0,1713,1724,0.30531,0.98786,0.01757,0.00198,0.05106,7.40,0.00,0.084,4949,2678.5
28,28.0,1740,1751,0.30574,0.98867,0.01757,0.00212,0.05359,7.40,0.00,0.085,5021,2727.6
29,29.0,1771,1782,0.30621,0.98954,0.01757,0.00226,0.05617,7.40,0.00,0.086,5107,2778.7
30,30.0,1796,1809,0.30663,0.99024,0.01757,0.00241,0.05880,7.40,0.00,0.087,5177,2835.5
31,31.0,1839,1855,0.30717,0.99132,0.01757,0.00256,0.06148,7.40,0.00,0.088,5253,2883.6
32,32.0,1872,1888,0.30726,0.99202,0.01757,0.00271,0.06494,7.40,0.00,0.089,5353,3692.3
33,33.0,1895,1913,0.30767,0.99252,0.01757,0.00286,0.06844,7.40,0.00,0.091,5418,3741.5
34,34.0,1919,1939,0.30808,0.99300,0.01757,0.00301,0.07198,7.40,0.00,0.092,5450,3772.1
35,35.0,1954,1975,0.30853,0.99361,0.01757,0.00315,0.07555,7.40,0.00,0.093,5474,3813.1
36,36.0,2027,2051,0.30913,0.99474,0.01757,0.00330,0.07917,7.40,0.00,0.095,5527,3863.0
37,37.0,2064,2090,0.30954,0.99524,0.01757,0.00345,0.08287,7.40,0.00,0.096,5604,3950.5
38,38.0,2085,2113,0.30989,0.99551,0.01757,0.00360,0.08660,7.40,0.00,0.097,5646,3984.8
39,39.0,2109,2138,0.31025,0.99579,0.01757,0.00375,0.09035,7.40,0.00,0.099,5676,4004.2
