step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,33,33,0.06744,0.07647,0.22940,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,32,34,0.08057,0.07849,0.23546,0.00000,0.00000,0.00307,8.27,0.00,0.159,1134,502.4
3,3.0,33,35,0.08257,0.08049,0.24147,0.00000,0.00000,0.00635,8.27,0.00,0.160,1141,539.8
4,4.0,34,37,0.08629,0.08445,0.25336,0.00000,0.00000,0.00993,8.27,0.00,0.160,1150,588.8
5,5.0,35,38,0.08829,0.08641,0.25923,0.00000,0.00000,0.01358,8.27,0.00,0.160,1151,601.6
6,6.0,36,39,0.09021,0.08835,0.26505,0.00000,0.00000,0.01724,8.27,0.00,0.161,1152,601.8
7,7.0,34,39,0.09044,0.08835,0.26505,0.00000,0.00000,0.02094,8.27,0.00,0.161,1161,606.5
8,8.0,34,39,0.09067,0.08835,0.26505,0.00000,0.00000,0.02457,8.27,0.00,0.161,1143,595.7
9,9.0,34,39,0.09088,0.08835,0.26505,0.00000,0.00000,0.02820,8.27,0.00,0.162,1143,595.4
10,10.0,34,39,0.09109,0.08835,0.26505,0.00000,0.00000,0.03183,8.27,0.00,0.162,1143,595.3
11,11.0,35,40,0.09299,0.09028,0.27084,0.00000,0.00000,0.03546,8.27,0.00,0.162,1143,595.1
12,12.0,35,40,0.09323,0.09028,0.27084,0.00000,0.00000,0.03912,8.27,0.00,0.163,1152,600.2
13,13.0,33,40,0.09344,0.09028,0.27084,0.00000,0.00000,0.04278,8.27,0.00,0.163,1152,600.1
14,14.0,31,40,0.09368,0.09028,0.27084,0.00000,0.00000,0.04640,8.27,0.00,0.163,1142,594.1
15,15.0,29,41,0.09560,0.09219,0.27657,0.00000,0.00000,0.04995,8.27,0.00,0.163,1124,583.7
16,16.0,26,41,0.09647,0.09219,0.27657,0.00000,0.00000,0.05279,8.27,0.00,0.164,906,472.6
17,17.0,24,44,0.10113,0.09784,0.29351,0.00000,0.00000,0.05565,8.27,0.00,0.164,904,471.2
18,18.0,10,44,0.10174,0.09784,0.29351,0.00000,0.00000,0.05861,8.27,0.00,0.164,938,490.4
19,19.0,16,58,0.12573,0.12248,0.36745,0.00000,0.00000,0.05958,8.27,0.00,0.164,308,162.6
20,20.0,5,61,0.12797,0.12742,0.38226,0.00000,0.00000,0.06232,8.27,0.00,0.164,821,448.4
21,21.0,8,68,0.13883,0.13849,0.41547,0.00000,0.00000,0.06376,8.27,0.00,0.165,482,246.6
22,22.0,0,68,0.14055,0.13849,0.41547,0.00000,0.00000,0.06475,8.27,0.00,0.165,318,168.7
23,23.0,3,71,0.12999,0.14305,0.42916,0.00000,0.00000,0.06475,8.27,0.00,0.165,0,0.0
24,24.0,0,71,0.14419,0.14305,0.42916,0.00000,0.00000,0.06556,8.27,0.00,0.165,271,139.6
25,25.0,0,71,0.13004,0.14305,0.42916,0.00000,0.00000,0.06556,8.27,0.00,0.165,0,0.0
