step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.137457;0.137457;0.130584;0.200854;0.200854
1;0.141309;0.141309;0.134244;0.200854;0.200854
2;0.145452;0.145452;0.138179;0.203940;0.203940
3;0.146985;0.148698;0.141263;0.189280;0.205816
4;0.150874;0.142396;0.135276;0.190062;0.202496
5;0.127889;0.147058;0.139705;0.170624;0.202820
6;0.120037;0.125755;0.119467;0.149349;0.180298
7;0.117426;0.119747;0.113760;0.149349;0.180298
8;0.097608;0.118779;0.112840;0.122520;0.176895
9;0.094526;0.118151;0.112243;0.122520;0.176895
10;0.072074;0.117858;0.111966;0.122520;0.176895
11;0.062968;0.116189;0.110380;0.069236;0.160780
12;0.060654;0.113046;0.107393;0.069236;0.160780
13;0.064437;0.111998;0.106398;0.069236;0.160780
14;0.061596;0.108270;0.102856;0.069236;0.160780
15;0.061328;0.109080;0.103626;0.069236;0.160780
16;0.061745;0.100672;0.095638;0.069236;0.160780
17;0.068758;0.099425;0.094454;0.058936;0.138479
18;0.064422;0.093600;0.088920;0.058936;0.138479
19;0.069450;0.081923;0.077826;0.058936;0.138479
20;0.078684;0.075443;0.071671;0.058936;0.138479
21;0.079136;0.072494;0.068869;0.076936;0.101188
22;0.065409;0.094634;0.089902;0.076936;0.101188
23;0.066538;0.085521;0.081245;0.076936;0.101188
