quantity;value
cycles;52
satisficing_failed;52
tried;12
accepted;2
rejected;10
withheld;10
persist_failed;0
dJ_accepted;-0.009277
stage1_tried;7
stage1_accepted;2
stage2_tried;2
stage2_accepted;0
stage3_tried;3
stage3_accepted;0
blocked: cooldown between adaptation trials;40
gate: rejected at G5 (package margin);1
gate: rejected at G3 (no improvement);2
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
rejected: rejected at G5 package margin (claude);1
rejected: rejected at G3 (claude);2
rejected: no improving perturbation found;5
