step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,187,187,0.11834,0.12378,0.37133,0.00000,0.00000,0.01040,8.27,0.00,0.164,163,224.2
5,5.0,203,203,0.12446,0.13023,0.39069,0.00000,0.00000,0.02080,8.27,0.00,0.164,156,221.2
6,6.0,220,221,0.13106,0.13703,0.41109,0.00000,0.00000,0.03120,8.27,0.00,0.164,155,220.8
7,7.0,242,243,0.13847,0.14475,0.43424,0.00000,0.00000,0.04157,8.27,0.00,0.165,154,219.9
8,8.0,263,266,0.14564,0.15219,0.45657,0.00000,0.00000,0.05198,8.27,0.00,0.165,154,220.3
9,9.0,283,287,0.15181,0.15849,0.47548,0.00000,0.00000,0.06239,8.27,0.00,0.166,154,220.5
10,10.0,298,302,0.15615,0.16273,0.48820,0.00000,0.00000,0.07276,8.27,0.00,0.167,153,219.3
11,11.0,313,319,0.16081,0.16730,0.50189,0.00000,0.00000,0.08313,8.27,0.00,0.168,153,219.2
12,12.0,327,337,0.16547,0.17187,0.51561,0.00000,0.00000,0.09350,8.27,0.00,0.169,153,219.2
13,13.0,342,358,0.17051,0.17689,0.53068,0.00000,0.00000,0.10388,8.27,0.00,0.169,153,219.3
14,14.0,349,369,0.17334,0.17940,0.53821,0.00000,0.00000,0.11427,8.27,0.00,0.170,153,219.4
15,15.0,358,389,0.17783,0.18377,0.55130,0.00000,0.00000,0.12465,8.27,0.00,0.170,153,219.3
16,16.0,373,407,0.18177,0.18749,0.56247,0.00000,0.00000,0.13502,8.27,0.00,0.171,153,219.0
17,17.0,382,421,0.18496,0.19026,0.57077,0.00000,0.00000,0.14543,8.27,0.00,0.172,155,219.9
18,18.0,394,438,0.18849,0.19348,0.58044,0.00000,0.00000,0.15582,8.27,0.00,0.172,155,219.4
19,19.0,408,457,0.19217,0.19691,0.59074,0.00000,0.00000,0.16620,8.27,0.00,0.173,155,218.9
20,20.0,421,478,0.19603,0.20052,0.60156,0.00000,0.00000,0.17661,8.27,0.00,0.173,156,219.7
21,21.0,432,496,0.19921,0.20346,0.61039,0.00000,0.00000,0.18698,8.27,0.00,0.174,155,218.9
22,22.0,443,512,0.20206,0.20597,0.61791,0.00000,0.00000,0.19741,8.27,0.00,0.174,156,220.1
23,23.0,454,527,0.20474,0.20823,0.62470,0.00000,0.00000,0.20783,8.27,0.00,0.175,156,219.7
24,24.0,454,540,0.20719,0.21013,0.63040,0.00000,0.00000,0.21824,8.27,0.00,0.175,157,219.7
25,25.0,455,551,0.20928,0.21170,0.63509,0.00000,0.00000,0.22862,8.27,0.00,0.175,157,219.0
26,26.0,465,566,0.21157,0.21376,0.64129,0.00000,0.00000,0.23905,8.27,0.00,0.176,157,219.9
27,27.0,468,574,0.21324,0.21484,0.64451,0.00000,0.00000,0.24946,8.27,0.00,0.176,158,219.7
28,28.0,480,588,0.21560,0.21667,0.65001,0.00000,0.00000,0.25987,8.27,0.00,0.177,158,219.4
29,29.0,490,602,0.21797,0.21845,0.65535,0.00000,0.00001,0.27027,8.27,0.00,0.177,159,219.2
30,30.0,494,614,0.22021,0.21993,0.65979,0.00000,0.00001,0.28068,8.27,0.00,0.177,161,219.3
31,31.0,499,620,0.22140,0.22066,0.66197,0.00000,0.00001,0.29110,8.27,0.00,0.177,161,219.6
32,32.0,503,631,0.22305,0.22197,0.66589,0.00000,0.00001,0.30150,8.27,0.00,0.177,160,219.2
33,33.0,510,643,0.22522,0.22336,0.67007,0.00000,0.00001,0.31189,8.27,0.00,0.178,161,218.9
34,34.0,526,662,0.22774,0.22550,0.67648,0.00000,0.00001,0.32227,8.27,0.00,0.178,161,218.7
35,35.0,552,677,0.21934,0.22713,0.68136,0.00000,0.00002,0.32227,8.27,0.00,0.178,0,0.0
36,36.0,557,682,0.21981,0.22766,0.68296,0.00000,0.00003,0.32227,8.27,0.00,0.178,0,0.0
37,37.0,573,696,0.22110,0.22913,0.68734,0.00000,0.00004,0.32227,8.27,0.00,0.178,0,0.0
38,38.0,584,705,0.22192,0.23005,0.69009,0.00000,0.00005,0.32227,8.27,0.00,0.178,0,0.0
39,39.0,595,715,0.22280,0.23105,0.69310,0.00000,0.00006,0.32227,8.27,0.00,0.178,0,0.0
40,40.0,603,722,0.22341,0.23174,0.69517,0.00000,0.00007,0.32227,8.27,0.00,0.178,0,0.0
41,41.0,613,729,0.22402,0.23243,0.69721,0.00000,0.00008,0.32227,8.27,0.00,0.178,0,0.0
42,42.0,626,742,0.22511,0.23367,0.70093,0.00000,0.00009,0.32227,8.27,0.00,0.178,0,0.0
43,43.0,634,749,0.22570,0.23433,0.70289,0.00000,0.00011,0.32227,8.27,0.00,0.178,0,0.0
44,44.0,642,757,0.22635,0.23508,0.70510,0.00000,0.00013,0.32227,8.27,0.00,0.178,0,0.0
45,45.0,627,766,0.23696,0.23591,0.70756,0.00000,0.00016,0.33267,8.27,0.00,0.179,159,219.3
46,46.0,627,770,0.23789,0.23627,0.70863,0.00000,0.00019,0.34308,8.27,0.00,0.179,159,219.3
47,47.0,633,781,0.23937,0.23725,0.71155,0.00000,0.00021,0.35348,8.27,0.00,0.179,159,219.3
48,48.0,623,788,0.24179,0.23787,0.71338,0.00000,0.00023,0.36388,8.27,0.00,0.179,168,219.0
49,49.0,630,798,0.24321,0.23873,0.71595,0.00000,0.00024,0.37426,8.27,0.00,0.179,173,218.1
50,50.0,628,801,0.24378,0.23899,0.71671,0.00000,0.00026,0.38466,8.27,0.00,0.179,186,217.5
