quantity;value
cycles;36
satisficing_failed;22
tried;6
accepted;1
rejected;5
withheld;0
persist_failed;0
dJ_accepted;0.000000
stage1_tried;2
stage1_accepted;0
stage2_tried;2
stage2_accepted;0
stage3_tried;2
stage3_accepted;1
blocked: cooldown between adaptation trials;16
gate: rejected at G3 (no improvement);1
gate: admitted (package, G5 margin cleared);1
rejected: rejected at G3 (claude);1
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
rejected: no improving perturbation found;2
