step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.223888;0.223888;0.212694;0.287321;0.287321
1;0.227257;0.227257;0.215894;0.287321;0.287321
2;0.230229;0.230229;0.218717;0.287321;0.287321
3;0.230860;0.232827;0.221186;0.286191;0.291713
4;0.232428;0.222689;0.211554;0.286191;0.291713
5;0.218672;0.226016;0.214715;0.280371;0.288928
6;0.117962;0.202320;0.192204;0.215498;0.281869
7;0.079640;0.161199;0.153139;0.215498;0.281869
8;0.059377;0.129704;0.123219;0.047025;0.233736
9;0.060002;0.120820;0.114779;0.047025;0.233736
10;0.060530;0.111197;0.105637;0.047025;0.233736
11;0.061079;0.091991;0.087391;0.047025;0.233736
12;0.061643;0.089812;0.085322;0.047025;0.233736
13;0.062218;0.095886;0.091092;0.056052;0.065210
13;0.062218;0.095886;0.091092;0.056052;0.065210
14;0.062826;0.084726;0.080490;0.047025;0.233736
15;0.063407;0.083818;0.079627;0.047025;0.094894
16;0.063890;0.080692;0.076657;0.047025;0.094894
17;0.064393;0.080632;0.076600;0.047025;0.089945
18;0.065001;0.079111;0.075155;0.047025;0.089945
19;0.065522;0.124488;0.118263;0.047025;0.089945
20;0.066118;0.074258;0.070545;0.047025;0.089945
21;0.066713;0.073140;0.069483;0.047025;0.089945
22;0.067307;0.069653;0.066170;0.047025;0.089945
23;0.067900;0.070826;0.067285;0.047025;0.089945
24;0.068493;0.070226;0.066715;0.047025;0.089945
25;0.071635;0.070212;0.066702;0.047025;0.089945
26;0.075080;0.070169;0.066661;0.053849;0.065210
27;0.076860;0.070551;0.067023;0.056052;0.065210
28;0.083037;0.070830;0.067288;0.063841;0.065210
29;0.084088;0.071216;0.067656;0.063841;0.065210
30;0.085780;0.071680;0.068096;0.064527;0.065210
31;0.087242;0.072187;0.068578;0.064527;0.065210
32;0.087310;0.072787;0.069148;0.064527;0.065210
33;0.087609;0.073169;0.069511;0.064527;0.065210
34;0.086403;0.073638;0.069956;0.064527;0.065210
